Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,21396.78,256761.36,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
EZC_AWS,Europe (Frankfurt),,Amazon EKS,0,73,876.00,USD,"Number of EKS Clusters (1), Number of hybrid nodes (0 per month)"
EZC_AWS,Europe (Frankfurt),,Amazon EC2 ,0,4248.6,50983.20,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 15), Advance EC2 instance (c6i.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
EZC_AWS,Europe (Frankfurt),,Amazon EC2 ,0,594.8,7137.60,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 5), Advance EC2 instance (c6i.2xlarge), Pricing strategy (Spot Discount: 58%), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
EZC_AWS,Europe (Frankfurt),,Amazon Elastic Block Store (EBS),0,246.12,2953.44,USD,"Number of volumes (20), Average duration of volume (730 hours per month), Storage amount per volume (50 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
EZC_AWS,Europe (Frankfurt),registry,Amazon Elastic Container Registry,0,5,60.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), Amount of data stored (50 GB per month)"
EZC_AWS,Europe (Frankfurt),,Amazon RDS for MySQL,0,6367.45,76409.40,USD,"Storage amount (10 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6g.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), General Purpose SSD (gp3) - IOPS (20000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
EZC_AWS,Europe (Frankfurt),cache.r6g.xlarge (Redis),Amazon ElastiCache,0,2163.72,25964.64,USD,"Engine (Redis OSS), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Cache Engine (Redis), Pricing strategy (OnDemand), Instance type (cache.r6g.xlarge), Cache Engine (Redis), Nodes (6), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
EZC_AWS,Europe (Frankfurt),Standard (active data),S3 Standard,0,78.15,937.80,USD,"S3 Standard storage (2000 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (5000000), GET, SELECT, and all other requests from S3 Standard (5000000)"
EZC_AWS,Europe (Frankfurt),Standard (active data),Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
EZC_AWS,Europe (Frankfurt),General Purpose 200 GiB,Amazon Elastic File System (EFS),0,72,864.00,USD,Desired Storage Capacity (200 GB per month)
